train_loss,train_cls_loss,train_reg_loss,train_accuracy,test_loss,test_cls_acc,test_reg_mse,test_accuracy,train_f1,test_f1,train_mae,test_mae,test_r2
3001.456689806952,338.229875481647,2663.226820351421,0.8532472201067911,30.898381280985056,0.8946895363643173,30.00369174462074,0.8946895363643173,0.49651230320730766,0,0,4.690278212300066,-2.677471233261747
2718.032320326653,260.3999303181966,2457.6323861384735,0.8941837123733268,30.791190389989637,0.8946895363643173,29.89650085362532,0.8946895363643173,0.47254565930568476,0,0,4.679252847880761,-2.6643331360749314
2714.2820005555086,259.17100502788156,2455.110979605412,0.8956113681583056,30.7873043306751,0.8947644371208149,29.892539893554282,0.8947644371208149,0.4738033874786071,0,0,4.6788436814104,-2.6638476519271514
2711.221691408019,256.1605318041815,2455.061158553414,0.8940539439323137,30.58333609623461,0.8955883454422889,29.687747750792322,0.8955883454422889,0.4793451542519402,0,0,4.652785560126695,-2.5656868453267965
2710.086413839589,254.84299228502357,2455.24340997226,0.8968073176347637,30.403575787857665,0.8970863605722418,29.506489427285423,0.8970863605722418,0.48938011476563986,0,0,4.629707802094911,-2.4829385847165666
2708.9609180395155,252.65303122478983,2456.307904561361,0.8973818170215734,30.628325323293478,0.9000823908321474,29.72824293246133,0.9000823908321474,0.5069056618584344,0,0,4.657943685329618,-2.584754643109171
2697.6066832611527,239.69124072530994,2457.9154530400815,0.90071047574524,29.82763738439744,0.908920680098869,28.91871670429857,0.908920680098869,0.5563866671010242,0,0,4.554867417255218,-2.2393814411541944
2670.5471253325973,208.90789609715557,2461.6392428633094,0.9134944966794898,28.755459472544306,0.9247247397198711,27.830734732824435,0.9247247397198711,0.668947772670647,0,0,4.416335567261143,-1.8690309511151626
2649.2188268468,182.68124433876812,2466.5375780851946,0.9220043163870897,28.09207873463812,0.9351359448730432,27.15694278976508,0.9351359448730432,0.7396375262088084,0,0,4.330542190529344,-1.6798830316903737
2632.8099807518115,165.43184545765752,2467.3781301526055,0.9295816624472626,27.13644431724928,0.9368586622724889,26.19958565497679,0.9368586622724889,0.7737840201565167,0,0,4.208642688526705,-1.4510286769825305
2627.88341190504,159.72266633959785,2468.1607382401176,0.9330487695612294,26.411152109732786,0.9402291963148828,25.470922913417905,0.9402291963148828,0.7928849351625951,0,0,4.115862656250058,-1.3019547073385378
2621.700135161911,153.07577956932178,2468.6243507274685,0.9339870522044893,26.31146569854978,0.9433001273312861,25.368165571218494,0.9433001273312861,0.800322707249005,0,0,4.102778648178807,-1.2824161568230172
2620.0120544433594,151.22808478535086,2468.78397866954,0.9363460004958801,25.71222463177372,0.9429256235487978,24.76929900822492,0.9429256235487978,0.8057618501222319,0,0,4.026525457014181,-1.175011941600551
2619.5100190535836,150.7406867483388,2468.769340183424,0.9366572314590583,25.61488911147871,0.9425511197663097,24.6723379917124,0.9425511197663097,0.8070661563350177,0,0,4.014179490280874,-1.158594998139745
2618.3604141456494,148.25773305478305,2470.1026811461516,0.9378050726344247,25.838885995021958,0.9437495318702719,24.895136463151687,0.9437495318702719,0.8136932702821755,0,0,4.042548238074079,-1.196706870011126
2616.0380567467732,146.7181164285411,2469.319932357125,0.9383087388829218,25.559537555901873,0.942251516740319,24.617286039161552,0.942251516740319,0.8162878425590081,0,0,4.007169770189496,-1.1493873898688705
2614.514449188675,145.10741947008216,2469.407033505647,0.9395522731645656,25.726365772782234,0.9431503258182907,24.783215446963943,0.9431503258182907,0.8190020996240905,0,0,4.028297426514938,-1.177389408531087
2614.9397901452107,145.21381935174915,2469.725983992867,0.9385627060489292,25.76843777382715,0.9433750280877837,24.825062745739366,0.9433750280877837,0.8163533206494684,0,0,4.0336258088738335,-1.184571007402123
2612.1932912633038,142.74264689459318,2469.4506398076596,0.9402697501191544,25.90974762128384,0.94412403565276,24.965623585631082,0.94412403565276,0.8226617402943333,0,0,4.05152330613066,-1.209055607658022
2613.1637851880946,143.65546334308127,2469.5083211263022,0.9385898003233928,25.58718128179357,0.9424013182533144,24.644779963540255,0.9424013182533144,0.818012778595407,0,0,4.0106705493435735,-1.1539756580835592
2612.2416364144588,143.18258835612863,2469.0590652244678,0.9390494543682089,25.74037342192113,0.9432252265747884,24.79714819534634,0.9432252265747884,0.8186469759395252,0,0,4.030071472206798,-1.179775047023603
2611.6093758845673,142.12990948773813,2469.4794629967732,0.9406424459785377,25.74037342192113,0.9432252265747884,24.79714819534634,0.9432252265747884,0.8239282525107285,0,0,4.030071472206798,-1.179775047023603
2611.649005834607,142.29988534899726,2469.349126622297,0.9396597880181754,25.74037342192113,0.9432252265747884,24.79714819534634,0.9432252265747884,0.8207307228184701,0,0,4.030071472206798,-1.179775047023603
2610.1164904608245,141.01377050427422,2469.1027177451315,0.9401804503568088,25.740373420690627,0.9432252265747884,24.797148194115838,0.9432252265747884,0.8231057472376105,0,0,4.030071472136962,-1.1797750469154367
2609.985507246377,140.7090030891308,2469.2764945652175,0.940033563827535,25.92382007194215,0.9440491348962624,24.97977093704589,0.9440491348962624,0.8229189729785649,0,0,4.05332467705891,-1.2115513900372248
2609.62230914572,140.72253719274548,2468.899762582088,0.9404911920887306,25.782494510625817,0.9434499288442814,24.839044581781536,0.9434499288442814,0.823158082969898,0,0,4.035406105010442,-1.1869814118544064
2607.264490984488,139.10371122498444,2468.1607798700747,0.9421494711439555,25.684889912573894,0.9433750280877837,24.74151488448611,0.9433750280877837,0.8261715619447388,0,0,4.022987728192749,-1.1702813509623042
