ID,SMILES,Cluster,Name
90,CC(=NO)C(C)(NO)C(Cl)=[C-]Cl,0,
91,CN1C=CN(C)[CH-]1,0,
92,[C-]#CC(C#CC(C#C)=C(C)C)=C(C)C,0,
93,CCNC(=O)[S-],0,N-ethylcarbamothioate
94,COC(=O)C([O-])=C([C-2]O)C(=O)OC,0,
95,CC1(C)OC(C)(C)C(=NCCCN=C2C(=NO)C(C)(C)OC2(C)C)C1=NO,0,
96,[N-]=O,0,nitroxyl anion
97,[N-]=[S]F,0,
98,N#CC([Se-])=C([Se-])C#N,0,1-azanidylidene-3-cyano-3-selanylideneprop-1-ene-2-selenolate
99,[CH-]=C[Si](C)(C)OCC,0,
