epoch,train_loss,train_cla_loss,train_reg_loss,test_loss,test_cla_loss,test_reg_loss,test_classification_metrics
0,139.7811516667215,4.460457827819213,135.3206938016738,80.237754394759,1.6996660552807707,78.538088652625,"{'accuracy': 0.19807427785419532, 'precision': 0.12734422262552933, 'recall': 0.9334811529933481, 'f1': 0.22411498536066007, 'pka_atom_accuracy': 0.9334811529933481, 'confusion_matrix': {'tn': 299, 'fp': 2885, 'fn': 30, 'tp': 421}}"
1,20.25802040834701,0.660043745943745,19.597976680629976,9.181753221899271,0.3611250533096826,8.820628129054016,"{'accuracy': 0.8759284731774415, 'precision': 0, 'recall': 0.0, 'f1': 0, 'pka_atom_accuracy': 0.0, 'confusion_matrix': {'tn': 3184, 'fp': 0, 'fn': 451, 'tp': 0}}"
2,8.997033145519145,0.4096617492785289,8.587371393479428,4.744724499534315,0.3670626336069249,4.3776618783580785,"{'accuracy': 0.8759284731774415, 'precision': 0, 'recall': 0.0, 'f1': 0, 'pka_atom_accuracy': 0.0, 'confusion_matrix': {'tn': 3184, 'fp': 0, 'fn': 451, 'tp': 0}}"
3,6.338776622354371,0.38002110084464774,5.958755523869257,3.6064409520199048,0.3143503341768215,3.292090604526995,"{'accuracy': 0.8759284731774415, 'precision': 0, 'recall': 0.0, 'f1': 0, 'pka_atom_accuracy': 0.0, 'confusion_matrix': {'tn': 3184, 'fp': 0, 'fn': 451, 'tp': 0}}"
4,5.510738444848246,0.3279732718464367,5.182765165403102,2.9965478420646776,0.21405462767762035,2.7824932272747605,"{'accuracy': 0.9284731774415406, 'precision': 0.6952965235173824, 'recall': 0.753880266075388, 'f1': 0.723404255319149, 'pka_atom_accuracy': 0.753880266075388, 'confusion_matrix': {'tn': 3035, 'fp': 149, 'fn': 111, 'tp': 340}}"
5,5.167504433343854,0.25636361635806715,4.9111408035813255,3.9200799116976004,0.1329791690883185,3.7871007363607463,"{'accuracy': 0.9306740027510316, 'precision': 0.6825688073394496, 'recall': 0.8248337028824834, 'f1': 0.746987951807229, 'pka_atom_accuracy': 0.8248337028824834, 'confusion_matrix': {'tn': 3011, 'fp': 173, 'fn': 79, 'tp': 372}}"
6,4.486592193599355,0.18599026733434387,4.300601934068836,2.700737459758825,0.10785931353665777,2.592878143896915,"{'accuracy': 0.9491059147180193, 'precision': 0.8308457711442786, 'recall': 0.7405764966740577, 'f1': 0.7831184056271983, 'pka_atom_accuracy': 0.7405764966740577, 'confusion_matrix': {'tn': 3116, 'fp': 68, 'fn': 117, 'tp': 334}}"
7,3.82021814299716,0.13437668973760997,3.6858414602155465,2.4657966111006506,0.0910046605580945,2.374791953647164,"{'accuracy': 0.956808803301238, 'precision': 0.75, 'recall': 0.9778270509977827, 'f1': 0.848893166506256, 'pka_atom_accuracy': 0.9778270509977827, 'confusion_matrix': {'tn': 3037, 'fp': 147, 'fn': 10, 'tp': 441}}"
8,3.786777931397957,0.11823925247846169,3.6685386829109174,2.169949024985197,0.07840197157799336,2.0915470441802246,"{'accuracy': 0.9592847317744154, 'precision': 0.7643979057591623, 'recall': 0.9711751662971175, 'f1': 0.8554687500000001, 'pka_atom_accuracy': 0.9711751662971175, 'confusion_matrix': {'tn': 3049, 'fp': 135, 'fn': 13, 'tp': 438}}"
9,3.5487064604373137,0.102865889967303,3.445840566299881,2.163454221015094,0.08739436272961355,2.0760598522729605,"{'accuracy': 0.9612104539202201, 'precision': 0.7654109589041096, 'recall': 0.991130820399113, 'f1': 0.8637681159420288, 'pka_atom_accuracy': 0.991130820399113, 'confusion_matrix': {'tn': 3047, 'fp': 137, 'fn': 4, 'tp': 447}}"
10,3.3055806680073023,0.09765764489719352,3.2079230218262174,2.019014928834826,0.07173094898397138,1.9472839828405126,"{'accuracy': 0.9672627235213205, 'precision': 0.8373983739837398, 'recall': 0.9135254988913526, 'f1': 0.8738069989395547, 'pka_atom_accuracy': 0.9135254988913526, 'confusion_matrix': {'tn': 3104, 'fp': 80, 'fn': 39, 'tp': 412}}"
11,3.204896802699038,0.09364603969356275,3.111250768103819,2.0184746861185032,0.07143891994939568,1.9470357662572877,"{'accuracy': 0.9669876203576341, 'precision': 0.8653421633554084, 'recall': 0.8691796008869179, 'f1': 0.8672566371681416, 'pka_atom_accuracy': 0.8691796008869179, 'confusion_matrix': {'tn': 3123, 'fp': 61, 'fn': 59, 'tp': 392}}"
12,3.172233878155324,0.08966068468929517,3.0825731866548205,1.9596999872627028,0.059267767687104886,1.9004322176728807,"{'accuracy': 0.9738651994497937, 'precision': 0.8449612403100775, 'recall': 0.9667405764966741, 'f1': 0.9017580144777663, 'pka_atom_accuracy': 0.9667405764966741, 'confusion_matrix': {'tn': 3104, 'fp': 80, 'fn': 15, 'tp': 436}}"
13,2.7923517649380405,0.07982304821533348,2.712528717985123,2.361717623965589,0.06346859877641094,2.2982490290352002,"{'accuracy': 0.9711141678129298, 'precision': 0.8191881918819188, 'recall': 0.9844789356984479, 'f1': 0.8942598187311179, 'pka_atom_accuracy': 0.9844789356984479, 'confusion_matrix': {'tn': 3086, 'fp': 98, 'fn': 7, 'tp': 444}}"
14,2.856523111397688,0.09203827570381588,2.7644848327196474,1.9057417014334004,0.06407052277106924,1.8416711760959814,"{'accuracy': 0.9708390646492435, 'precision': 0.8285714285714286, 'recall': 0.9645232815964523, 'f1': 0.8913934426229508, 'pka_atom_accuracy': 0.9645232815964523, 'confusion_matrix': {'tn': 3094, 'fp': 90, 'fn': 16, 'tp': 435}}"
