epoch,train_loss,train_cla_loss,train_reg_loss,test_loss,test_cla_loss,test_reg_loss,rmse_gt,rmse_hit,learning_rate,precision,recall,f1,test_classification_metrics
0,2.0730990672133816,1.0543156701433702,1.018783395638392,1.4128776757574792,0.6402333585628822,0.7726443208469106,4.229938731009094,4.06753251806577,0.0001,0.18450704225352113,0.5809312638580931,0.2800641368252272,"{""accuracy"": 0.629436038514443, ""precision"": 0.18450704225352113, ""recall"": 0.5809312638580931, ""f1"": 0.2800641368252272, ""pka_atom_accuracy"": 0.5809312638580931, ""rmse_gt"": 4.229938731009094, ""rmse_hit"": 4.06753251806577, ""confusion_matrix"": {""tn"": 2026, ""fp"": 1158, ""fn"": 189, ""tp"": 262}}"
1,1.344187749419065,0.6820637902664848,0.6621239580037326,1.0767359922626125,0.5771537802335042,0.4995822105194019,3.6663022871740267,2.9329843103956175,9e-05,0.19142689371697005,0.7228381374722838,0.30269266480965645,"{""accuracy"": 0.5867950481430536, ""precision"": 0.19142689371697005, ""recall"": 0.7228381374722838, ""f1"": 0.30269266480965645, ""pka_atom_accuracy"": 0.7228381374722838, ""rmse_gt"": 3.6663022871740267, ""rmse_hit"": 2.9329843103956175, ""confusion_matrix"": {""tn"": 1807, ""fp"": 1377, ""fn"": 125, ""tp"": 326}}"
2,1.1154264168721477,0.6113847599925004,0.5040416563968425,0.8526622620758726,0.49134601419096563,0.3613162466426797,3.437344634273035,2.360306309687223,8.1e-05,0.22229869236063318,0.7161862527716186,0.33928571428571436,"{""accuracy"": 0.6539202200825309, ""precision"": 0.22229869236063318, ""recall"": 0.7161862527716186, ""f1"": 0.33928571428571436, ""pka_atom_accuracy"": 0.7161862527716186, ""rmse_gt"": 3.437344634273035, ""rmse_hit"": 2.360306309687223, ""confusion_matrix"": {""tn"": 2054, ""fp"": 1130, ""fn"": 128, ""tp"": 323}}"
3,0.9466429547492983,0.5650861253656998,0.3815568305465449,0.6632137900190567,0.406977001299609,0.2562367879798452,3.3276219234011695,2.7353995011530223,7.290000000000001e-05,0.23990306946688206,0.6585365853658537,0.3516873889875666,"{""accuracy"": 0.6987620357634112, ""precision"": 0.23990306946688206, ""recall"": 0.6585365853658537, ""f1"": 0.3516873889875666, ""pka_atom_accuracy"": 0.6585365853658537, ""rmse_gt"": 3.3276219234011695, ""rmse_hit"": 2.7353995011530223, ""confusion_matrix"": {""tn"": 2243, ""fp"": 941, ""fn"": 154, ""tp"": 297}}"
4,0.8507809829771853,0.5064840054468812,0.3442969783129192,0.5727144052177223,0.3275627289801391,0.24515167507097635,2.7139493278490074,2.344557254371208,6.561000000000002e-05,0.31784582893347413,0.6674057649667405,0.4306151645207439,"{""accuracy"": 0.7810178817056396, ""precision"": 0.31784582893347413, ""recall"": 0.6674057649667405, ""f1"": 0.4306151645207439, ""pka_atom_accuracy"": 0.6674057649667405, ""rmse_gt"": 2.7139493278490074, ""rmse_hit"": 2.344557254371208, ""confusion_matrix"": {""tn"": 2538, ""fp"": 646, ""fn"": 150, ""tp"": 301}}"
5,0.7282856369445099,0.4349274219295151,0.29335821435192677,0.48579143663284496,0.2577131957983348,0.228078240372388,2.585942202099907,2.4065939917471084,5.904900000000002e-05,0.4687975646879756,0.6829268292682927,0.5559566787003611,"{""accuracy"": 0.8646492434662999, ""precision"": 0.4687975646879756, ""recall"": 0.6829268292682927, ""f1"": 0.5559566787003611, ""pka_atom_accuracy"": 0.6829268292682927, ""rmse_gt"": 2.585942202099907, ""rmse_hit"": 2.4065939917471084, ""confusion_matrix"": {""tn"": 2835, ""fp"": 349, ""fn"": 143, ""tp"": 308}}"
6,0.6932712759338214,0.39032390674138817,0.3029473697016709,0.4424992450651949,0.22149595730840715,0.2210032875311041,2.380613719606001,2.2893698424151805,5.314410000000002e-05,0.5132890365448505,0.6851441241685144,0.586894586894587,"{""accuracy"": 0.8803301237964236, ""precision"": 0.5132890365448505, ""recall"": 0.6851441241685144, ""f1"": 0.586894586894587, ""pka_atom_accuracy"": 0.6851441241685144, ""rmse_gt"": 2.380613719606001, ""rmse_hit"": 2.2893698424151805, ""confusion_matrix"": {""tn"": 2891, ""fp"": 293, ""fn"": 142, ""tp"": 309}}"
7,0.6237450895179324,0.33712597298492497,0.28661911554395203,0.4175861013719617,0.20589445428505762,0.2116916466339045,2.581204603779694,2.558709294862399,4.782969000000002e-05,0.5400696864111498,0.6873614190687362,0.6048780487804879,"{""accuracy"": 0.8885832187070152, ""precision"": 0.5400696864111498, ""recall"": 0.6873614190687362, ""f1"": 0.6048780487804879, ""pka_atom_accuracy"": 0.6873614190687362, ""rmse_gt"": 2.581204603779694, ""rmse_hit"": 2.558709294862399, ""confusion_matrix"": {""tn"": 2920, ""fp"": 264, ""fn"": 141, ""tp"": 310}}"
8,0.5846450332886739,0.311019346316609,0.27362568665680104,0.4102793911319059,0.19860946641776211,0.21166992515598665,2.4683649269810664,2.45231722027154,4.304672100000002e-05,0.5424610051993067,0.6940133037694013,0.6089494163424124,"{""accuracy"": 0.8894085281980743, ""precision"": 0.5424610051993067, ""recall"": 0.6940133037694013, ""f1"": 0.6089494163424124, ""pka_atom_accuracy"": 0.6940133037694013, ""rmse_gt"": 2.4683649269810664, ""rmse_hit"": 2.45231722027154, ""confusion_matrix"": {""tn"": 2920, ""fp"": 264, ""fn"": 138, ""tp"": 313}}"
9,0.557304378263513,0.29171968244235713,0.2655846956010632,0.39628789231959566,0.18896409360789207,0.20732379851186883,2.613826860112348,2.656230073741896,3.874204890000002e-05,0.5385934819897084,0.6962305986696231,0.607350096711799,"{""accuracy"": 0.8883081155433288, ""precision"": 0.5385934819897084, ""recall"": 0.6962305986696231, ""f1"": 0.607350096711799, ""pka_atom_accuracy"": 0.6962305986696231, ""rmse_gt"": 2.613826860112348, ""rmse_hit"": 2.656230073741896, ""confusion_matrix"": {""tn"": 2915, ""fp"": 269, ""fn"": 137, ""tp"": 314}}"
